Time,Account,Operation,Coin,Change
2024-03-03 00:00:00,Spot,Deposit,USD,10000.0
2024-03-03 22:00:00,Spot,Withdraw,USD,-2000.0
2024-03-05 07:00:00,Spot,Transaction Revenue,ADA,5772.06413405
2024-03-05 07:00:00,Spot,Transaction Sold,USD,-4000.0
2024-03-05 07:00:00,Spot,Transaction Fee,ADA,-5.77784198
2024-03-05 10:00:00,Spot,Binance Convert,SOL,15.94445774
2024-03-05 10:00:00,Spot,Binance Convert,USD,-2000.0
2024-03-05 10:00:00,Spot,Transaction Fee,SOL,-0.01596042
2024-03-05 14:00:00,Spot,Transaction Buy,ADA,1441.57301748
2024-03-05 14:00:00,Spot,Transaction Spend,SOL,-7.97222887
2024-03-05 14:00:00,Spot,Transaction Fee,ADA,-1.44301603
2024-03-05 20:00:00,Spot,Binance Convert,USD,798.4008
2024-03-05 20:00:00,Spot,Binance Convert,SOL,-6.3777831
2024-03-05 20:00:00,Spot,Transaction Fee,USD,-0.7992
2024-03-06 02:00:00,Spot,Transaction Fee,BTC,-8.47e-06
2024-03-06 02:00:00,Spot,Binance Convert,BTC,0.00846203
2024-03-06 02:00:00,Spot,Binance Convert,USD,-559.68016
2024-03-06 03:00:00,Spot,Deposit,USD,50000.0
2024-03-06 07:00:00,Spot,Transfer,SOL,-0.79722289
2024-03-06 08:00:00,Spot,Transfer,BTC,-0.00676962
2024-03-06 14:00:00,Spot,Transaction Buy,USD,89.3698175
2024-03-06 14:00:00,Spot,Transaction Spend,BTC,-0.00135392
2024-03-06 14:00:00,Spot,Transaction Fee,USD,-0.08945928
2024-03-06 16:00:00,Spot,Buy,USD,4236.80051257
2024-03-06 16:00:00,Spot,Sell,ADA,-5770.90972122
2024-03-06 16:00:00,Spot,Fee,USD,-4.24104155
2024-03-06 19:00:00,Spot,Transfer,BTC,-6.77e-05
2024-03-07 01:00:00,Spot,Deposit,USD,50000.0
2024-03-07 05:00:00,Spot,Sell,ADA,-288.54548606
2024-03-07 05:00:00,Spot,Fee,USD,-0.21430273
2024-03-07 05:00:00,Spot,Buy,USD,214.08842976
2024-03-07 10:00:00,Spot,Transaction Buy,BTC,0.01025218
2024-03-07 10:00:00,Spot,Transaction Spend,ADA,-923.3455554
2024-03-07 10:00:00,Spot,Transaction Fee,BTC,-1.026e-05
2024-03-07 16:00:00,Spot,Withdraw,USD,-21355.79587997
2024-03-07 19:00:00,Spot,Transfer,BTC,-0.00841837
2024-03-07 21:00:00,Spot,Transfer,ADA,-46.16727777
2024-03-08 03:00:00,Spot,Transaction Buy,SOL,294.69493866
2024-03-08 03:00:00,Spot,Transaction Spend,USD,-42711.59175993
2024-03-08 03:00:00,Spot,Transaction Fee,SOL,-0.29498993
2024-03-08 07:00:00,Spot,Buy,USD,71.61513996
2024-03-08 07:00:00,Spot,Sell,BTC,-0.0010523
2024-03-08 07:00:00,Spot,Fee,USD,-0.07168683
2024-03-08 16:00:00,Spot,Transfer,SOL,-59.09843231
2024-03-08 21:00:00,Spot,Deposit,USD,50000.0
2024-03-09 02:00:00,Spot,Withdraw,USD,-74226.56551991
2024-03-09 07:00:00,Spot,Transaction Revenue,SOL,102.78236739
2024-03-09 07:00:00,Spot,Transaction Sold,USD,-14845.31310398
2024-03-09 07:00:00,Spot,Transaction Fee,SOL,-0.10288525
2024-03-09 08:00:00,Spot,Transaction Related,ADA,2499.74173929
2024-03-09 08:00:00,Spot,Transaction Related,USD,-1855.664138
2024-03-09 08:00:00,Spot,Transaction Fee,ADA,-2.50224398
2024-03-09 09:00:00,Spot,Withdraw,USD,-927.832069
2024-03-09 15:00:00,Spot,Deposit,USD,500.0
2024-03-09 18:00:00,Spot,Withdraw,USD,-713.9160345
2024-03-09 23:00:00,Spot,Binance Convert,ETH,0.14610269
2024-03-09 23:00:00,Spot,Binance Convert,USD,-571.1328276
2024-03-09 23:00:00,Spot,Transaction Fee,ETH,-0.00014625
2024-03-10 02:00:00,Spot,Binance Convert,USD,-114.22656552
2024-03-10 02:00:00,Spot,Binance Convert,ETH,0.029422
2024-03-10 02:00:00,Spot,Transaction Fee,ETH,-2.945e-05
