Time,Account,Operation,Coin,Change
2024-03-03 00:00:00,Spot,Deposit,USD,500.0
2024-03-03 08:00:00,Spot,Transaction Buy,ADA,137.24412694
2024-03-03 08:00:00,Spot,Transaction Spend,USD,-100.0
2024-03-03 08:00:00,Spot,Transaction Fee,ADA,-0.13738151
2024-03-03 17:00:00,Spot,Transfer,ADA,-109.79530155
2024-03-03 19:00:00,Spot,Transaction Related,ETH,0.02291409
2024-03-03 19:00:00,Spot,Transaction Related,USD,-80.0
2024-03-03 19:00:00,Spot,Transaction Fee,ETH,-2.294e-05
2024-03-04 02:00:00,Spot,Transaction Revenue,BTC,0.00093685
2024-03-04 02:00:00,Spot,Transaction Sold,USD,-64.0
2024-03-04 02:00:00,Spot,Transaction Fee,BTC,-9.4e-07
2024-03-04 03:00:00,Spot,Transaction Buy,USD,66.4349603
2024-03-04 03:00:00,Spot,Transaction Spend,ETH,-0.01833127
2024-03-04 03:00:00,Spot,Transaction Fee,USD,-0.06650146
2024-03-04 04:00:00,Spot,Transaction Fee,BTC,-2.36e-06
2024-03-04 04:00:00,Spot,Transaction Spend,USD,-161.21748015
2024-03-04 04:00:00,Spot,Transaction Buy,BTC,0.00235995
2024-03-04 08:00:00,Spot,Transaction Revenue,SOL,0.84327782
2024-03-04 08:00:00,Spot,Transaction Sold,BTC,-0.0016484
2024-03-04 08:00:00,Spot,Transaction Fee,SOL,-0.00084412
2024-03-04 14:00:00,Spot,Buy,BTC,6.189e-05
2024-03-04 14:00:00,Spot,Sell,ADA,-5.48976508
2024-03-04 14:00:00,Spot,Fee,BTC,-6e-08
2024-03-04 18:00:00,Spot,Buy,USD,13.51500934
2024-03-04 18:00:00,Spot,Sell,ADA,-17.56724825
2024-03-04 18:00:00,Spot,Fee,USD,-0.01352854
2024-03-04 22:00:00,Spot,Transaction Revenue,ETH,0.02571347
2024-03-04 22:00:00,Spot,Transaction Sold,BTC,-0.00136823
2024-03-04 22:00:00,Spot,Transaction Fee,ETH,-2.574e-05
2024-03-04 23:00:00,Spot,Buy,ETH,0.00074509
2024-03-04 23:00:00,Spot,Sell,ADA,-3.51344965
2024-03-04 23:00:00,Spot,Fee,ETH,-7.5e-07
2024-03-05 02:00:00,Spot,Deposit,USD,500.0
2024-03-05 05:00:00,Spot,Transaction Buy,ADA,25.16300857
2024-03-05 05:00:00,Spot,Transaction Spend,BTC,-0.00027365
2024-03-05 05:00:00,Spot,Transaction Fee,ADA,-0.0251882
2024-03-05 09:00:00,Spot,Binance Convert,SOL,1.07582437
2024-03-05 09:00:00,Spot,Binance Convert,USD,-134.9464979
2024-03-05 09:00:00,Spot,Transaction Fee,SOL,-0.0010769
2024-03-05 10:00:00,Spot,Transaction Revenue,SOL,3.44263797
2024-03-05 10:00:00,Spot,Transaction Sold,USD,-431.82879327
2024-03-05 10:00:00,Spot,Transaction Fee,SOL,-0.00344608
2024-03-05 15:00:00,Spot,Transaction Buy,USD,22.03997255
2024-03-05 15:00:00,Spot,Transaction Spend,ETH,-0.00620827
2024-03-05 15:00:00,Spot,Transaction Fee,USD,-0.02206203
2024-03-05 20:00:00,Spot,Binance Convert,ADA,93.79400094
2024-03-05 20:00:00,Spot,Binance Convert,USD,-64.99858544
2024-03-05 20:00:00,Spot,Transaction Fee,ADA,-0.09388789
2024-03-05 23:00:00,Spot,Fee,USD,-0.00217972
2024-03-05 23:00:00,Spot,Buy,USD,2.17754385
2024-03-05 23:00:00,Spot,Sell,BTC,-3.421e-05
2024-03-06 04:00:00,Spot,Transaction Buy,SOL,0.4104837
2024-03-06 04:00:00,Spot,Transaction Spend,USD,-53.74090343
2024-03-06 04:00:00,Spot,Transaction Fee,SOL,-0.00041089
2024-03-06 05:00:00,Spot,Withdraw,USD,-2.68704517
2024-03-06 08:00:00,Spot,Buy,ETH,0.00224951
2024-03-06 08:00:00,Spot,Sell,USD,-8.59854455
2024-03-06 08:00:00,Spot,Fee,ETH,-2.25e-06
2024-03-06 13:00:00,Spot,Buy,USD,43.98947391
2024-03-06 13:00:00,Spot,Sell,ADA,-59.91768596
2024-03-06 13:00:00,Spot,Fee,USD,-0.04403351
2024-03-06 18:00:00,Spot,Transaction Fee,BTC,-5.71e-06
2024-03-06 18:00:00,Spot,Transaction Revenue,BTC,0.00570719
2024-03-06 18:00:00,Spot,Transaction Sold,SOL,-2.88611193
2024-03-07 00:00:00,Spot,Transaction Fee,SOL,-0.00025665
2024-03-07 00:00:00,Spot,Binance Convert,USD,-36.91128803
2024-03-07 00:00:00,Spot,Binance Convert,SOL,0.25639255
2024-03-07 02:00:00,Spot,Transfer,SOL,-0.6285009
2024-03-07 08:00:00,Spot,Transaction Related,USD,288.96194515
2024-03-07 08:00:00,Spot,Transaction Related,SOL,-2.01120287
2024-03-07 08:00:00,Spot,Transaction Fee,USD,-0.2892512
2024-03-07 14:00:00,Spot,Transfer,ADA,-47.93414877
2024-03-07 20:00:00,Spot,Transaction Revenue,BTC,0.00089158
2024-03-07 20:00:00,Spot,Transaction Sold,USD,-59.63795343
2024-03-07 20:00:00,Spot,Transaction Fee,BTC,-8.9e-07
2024-03-08 01:00:00,Spot,Buy,USD,52.53316708
2024-03-08 01:00:00,Spot,Sell,ETH,-0.0135413
2024-03-08 01:00:00,Spot,Fee,USD,-0.05258575
2024-03-08 02:00:00,Spot,Transaction Buy,USD,361.13147992
2024-03-08 02:00:00,Spot,Transaction Spend,BTC,-0.00530638
2024-03-08 02:00:00,Spot,Transaction Fee,USD,-0.36149297
2024-03-08 08:00:00,Spot,Sell,USD,-130.44329214
2024-03-08 08:00:00,Spot,Fee,BTC,-1.91e-06
2024-03-08 08:00:00,Spot,Buy,BTC,0.00191287
2024-03-08 14:00:00,Spot,Transaction Related,USD,36.36385763
2024-03-08 14:00:00,Spot,Transaction Related,SOL,-0.25140036
2024-03-08 14:00:00,Spot,Transaction Fee,USD,-0.03640026
2024-03-08 17:00:00,Spot,Withdraw,USD,-279.06851311
2024-03-08 19:00:00,Spot,Binance Convert,ADA,192.85379399
2024-03-08 19:00:00,Spot,Binance Convert,USD,-139.53425655
2024-03-08 19:00:00,Spot,Transaction Fee,ADA,-0.19304684
2024-03-09 00:00:00,Spot,Binance Convert,USD,110.53865598
2024-03-09 00:00:00,Spot,Binance Convert,BTC,-0.00161973
2024-03-09 00:00:00,Spot,Transaction Fee,USD,-0.11064931
2024-03-09 05:00:00,Spot,Withdraw,USD,-125.03645627
2024-03-09 07:00:00,Spot,Fee,ETH,-4.6e-07
2024-03-09 07:00:00,Spot,Buy,ETH,0.00046397
2024-03-09 07:00:00,Spot,Sell,SOL,-0.01257002
2024-03-09 07:00:00,Spot,Fee,ETH,-4.6e-07
2024-03-09 07:00:00,Spot,Sell,SOL,-0.01257002
2024-03-09 07:00:00,Spot,Buy,ETH,0.00046397
2024-03-09 07:00:00,Spot,Buy,ETH,0.00046397
2024-03-09 07:00:00,Spot,Sell,SOL,-0.01257002
2024-03-09 07:00:00,Spot,Fee,ETH,-4.6e-07
2024-03-09 07:00:00,Spot,Sell,SOL,-0.01257002
2024-03-09 07:00:00,Spot,Buy,ETH,0.00046397
2024-03-09 07:00:00,Spot,Fee,ETH,-4.6e-07
2024-03-09 08:00:00,Spot,Transaction Related,ADA,84.21751605
2024-03-09 08:00:00,Spot,Transaction Related,USD,-62.51822813
2024-03-09 08:00:00,Spot,Transaction Fee,ADA,-0.08430182
2024-03-09 12:00:00,Spot,Transaction Revenue,SOL,0.74207745
2024-03-09 12:00:00,Spot,Transaction Sold,ADA,-144.52742362
2024-03-09 12:00:00,Spot,Transaction Fee,SOL,-0.00074282
2024-03-09 17:00:00,Spot,Binance Convert,ETH,0.0069629
2024-03-09 17:00:00,Spot,Binance Convert,SOL,-0.18863955
2024-03-09 17:00:00,Spot,Transaction Fee,ETH,-6.97e-06
2024-03-09 22:00:00,Spot,Transaction Fee,SOL,-0.00015337
2024-03-09 22:00:00,Spot,Transaction Revenue,SOL,0.15321735
2024-03-09 22:00:00,Spot,Transaction Sold,BTC,-0.00032395
2024-03-09 23:00:00,Spot,Buy,ETH,0.00319858
2024-03-09 23:00:00,Spot,Sell,USD,-12.50364563
2024-03-09 23:00:00,Spot,Fee,ETH,-3.2e-06
2024-03-10 01:00:00,Spot,Transfer,SOL,-0.45388777
2024-03-10 07:00:00,Spot,Transaction Related,SOL,0.27683118
2024-03-10 07:00:00,Spot,Transaction Related,USD,-40.01166601
2024-03-10 07:00:00,Spot,Transaction Fee,SOL,-0.00027711
2024-03-10 10:00:00,Spot,Buy,USD,79.22355427
2024-03-10 10:00:00,Spot,Sell,ETH,-0.02044694
2024-03-10 10:00:00,Spot,Fee,USD,-0.07930286
2024-03-10 14:00:00,Spot,Sell,USD,-44.61323539
2024-03-10 14:00:00,Spot,Buy,ETH,0.01149129
2024-03-10 14:00:00,Spot,Fee,ETH,-1.15e-05
