Time,Account,Operation,Coin,Change
2024-03-03 00:00:00,Spot,Deposit,USD,10000.0
2024-03-03 06:00:00,Spot,Deposit,USD,500.0
2024-03-03 11:00:00,Spot,Withdraw,USD,-8400.0
2024-03-04 12:00:00,Spot,Transaction Revenue,BTC,0.0153702
2024-03-04 12:00:00,Spot,Transaction Sold,USD,-1050.0
2024-03-04 12:00:00,Spot,Transaction Fee,BTC,-1.539e-05
2024-03-04 16:00:00,Spot,Binance Convert,USD,209.58021
2024-03-04 16:00:00,Spot,Binance Convert,BTC,-0.00307404
2024-03-04 16:00:00,Spot,Transaction Fee,USD,-0.20979
2024-03-04 17:00:00,Spot,Withdraw,USD,-629.790105
2024-03-04 21:00:00,Spot,Deposit,USD,500.0
2024-03-05 08:00:00,Spot,Deposit,USD,50000.0
2024-03-05 13:00:00,Spot,Transfer,BTC,-0.00614808
2024-03-06 06:00:00,Spot,Binance Convert,ETH,0.08502032
2024-03-06 06:00:00,Spot,Binance Convert,BTC,-0.00491846
2024-03-06 06:00:00,Spot,Transaction Fee,ETH,-8.511e-05
2024-03-06 17:00:00,Spot,Transaction Revenue,ETH,2.67526288
2024-03-06 17:00:00,Spot,Transaction Sold,USD,-10225.958021
2024-03-06 17:00:00,Spot,Transaction Fee,ETH,-0.00267794
2024-03-06 18:00:00,Spot,Deposit,USD,500.0
2024-03-06 21:00:00,Spot,Transaction Fee,USD,-5.2701949
2024-03-06 21:00:00,Spot,Transaction Spend,ETH,-1.3801416
2024-03-06 21:00:00,Spot,Transaction Buy,USD,5264.92470595
2024-03-07 06:00:00,Spot,Transaction Revenue,USD,65.66772447
2024-03-07 06:00:00,Spot,Transaction Sold,BTC,-0.00098369
2024-03-07 06:00:00,Spot,Transaction Fee,USD,-0.06573346
2024-03-07 14:00:00,Spot,Deposit,USD,500.0
2024-03-07 15:00:00,Spot,Transaction Related,BTC,0.35307506
2024-03-07 15:00:00,Spot,Transaction Related,USD,-23617.21225721
2024-03-07 15:00:00,Spot,Transaction Fee,BTC,-0.00035343
2024-03-08 00:00:00,Spot,Transaction Related,USD,-4723.44245144
2024-03-08 00:00:00,Spot,Transaction Fee,ADA,-6.53492315
2024-03-08 00:00:00,Spot,Transaction Related,ADA,6528.38822495
2024-03-08 02:00:00,Spot,Transfer,ETH,-0.27602832
2024-03-08 08:00:00,Spot,Buy,ADA,6653.46883632
2024-03-08 08:00:00,Spot,Sell,BTC,-0.0706642
2024-03-08 08:00:00,Spot,Fee,ADA,-6.66012897
2024-03-08 11:00:00,Spot,Transaction Revenue,ADA,20890.84231982
2024-03-08 11:00:00,Spot,Transaction Sold,USD,-15115.01584461
2024-03-08 11:00:00,Spot,Transaction Fee,ADA,-20.91175407
2024-03-08 14:00:00,Spot,Transaction Fee,USD,-9.62788243
2024-03-08 14:00:00,Spot,Transaction Buy,USD,9618.25454978
2024-03-08 14:00:00,Spot,Transaction Spend,BTC,-0.14132839
2024-03-08 16:00:00,Spot,Transaction Sold,ADA,-27258.15950487
2024-03-08 16:00:00,Spot,Transaction Fee,ETH,-0.00507349
2024-03-08 16:00:00,Spot,Transaction Revenue,ETH,5.06841897
2024-03-08 19:00:00,Spot,Transfer,BTC,-0.0706642
2024-03-09 01:00:00,Spot,Buy,ETH,1.71355849
2024-03-09 01:00:00,Spot,Sell,USD,-6698.50425547
2024-03-09 01:00:00,Spot,Fee,ETH,-0.00171527
2024-03-09 02:00:00,Spot,Transaction Related,ADA,20743.01750979
