Time,Account,Operation,Coin,Change
2024-03-03 00:00:00,Spot,Deposit,USD,50000.0
2024-03-03 03:00:00,Spot,Transaction Related,BTC,0.15828508
2024-03-03 03:00:00,Spot,Transaction Related,USD,-10000.0
2024-03-03 03:00:00,Spot,Transaction Fee,BTC,-0.00015844
2024-03-03 22:00:00,Spot,Deposit,USD,500.0
2024-03-03 23:00:00,Spot,Buy,ETH,0.57227945
2024-03-03 23:00:00,Spot,Sell,BTC,-0.03165702
2024-03-03 23:00:00,Spot,Fee,ETH,-0.00057285
2024-03-04 03:00:00,Spot,Binance Convert,SOL,60.71809109
2024-03-04 03:00:00,Spot,Binance Convert,USD,-8100.0
2024-03-04 03:00:00,Spot,Transaction Fee,SOL,-0.06077887
2024-03-04 09:00:00,Spot,Transaction Buy,BTC,0.02431234
2024-03-04 09:00:00,Spot,Transaction Spend,ETH,-0.45782356
2024-03-04 09:00:00,Spot,Transaction Fee,BTC,-2.434e-05
2024-03-04 14:00:00,Spot,Withdraw,USD,-16200.0
2024-03-04 20:00:00,Spot,Transaction Fee,SOL,-0.09724619
2024-03-04 20:00:00,Spot,Transaction Related,SOL,97.14894575
2024-03-04 20:00:00,Spot,Transaction Related,USD,-12960.0
2024-03-05 01:00:00,Spot,Transaction Related,SOL,1.62129694
2024-03-05 01:00:00,Spot,Transaction Related,ETH,-0.05722795
2024-03-05 01:00:00,Spot,Transaction Fee,SOL,-0.00162292
2024-03-05 02:00:00,Spot,Withdraw,USD,-648.0
2024-03-05 05:00:00,Spot,Transaction Revenue,SOL,38.3405541
2024-03-05 05:00:00,Spot,Transaction Sold,BTC,-0.07547021
2024-03-05 05:00:00,Spot,Transaction Fee,SOL,-0.03837893
2024-03-05 09:00:00,Spot,Transaction Buy,ADA,5551.8761625
2024-03-05 09:00:00,Spot,Transaction Spend,BTC,-0.06037616
2024-03-05 09:00:00,Spot,Transaction Fee,ADA,-5.5574336
2024-03-05 10:00:00,Spot,Transaction Fee,SOL,-0.00413694
2024-03-05 10:00:00,Spot,Transaction Related,SOL,4.13280345
2024-03-05 10:00:00,Spot,Transaction Related,USD,-518.4
2024-03-05 11:00:00,Spot,Transaction Fee,SOL,-0.00330955
2024-03-05 11:00:00,Spot,Transaction Related,USD,-414.72
2024-03-05 11:00:00,Spot,Transaction Related,SOL,3.30624276
2024-03-05 17:00:00,Spot,Buy,SOL,10.57997683
2024-03-05 17:00:00,Spot,Sell,USD,-1327.104
2024-03-05 17:00:00,Spot,Fee,SOL,-0.01059057
2024-03-05 22:00:00,Spot,Withdraw,USD,-265.4208
2024-03-06 02:00:00,Spot,Transaction Revenue,USD,3260.79497442
2024-03-06 02:00:00,Spot,Transaction Sold,ADA,-4441.50093
2024-03-06 02:00:00,Spot,Transaction Fee,USD,-3.26405903
2024-03-06 03:00:00,Spot,Deposit,USD,500.0
2024-03-06 06:00:00,Spot,Transaction Fee,ETH,-3.562e-05
2024-03-06 06:00:00,Spot,Transaction Revenue,ETH,0.03558027
2024-03-06 06:00:00,Spot,Transaction Fee,ETH,-3.562e-05
2024-03-06 06:00:00,Spot,Transaction Sold,ADA,-185.06253875
2024-03-06 06:00:00,Spot,Transaction Sold,ADA,-185.06253875
2024-03-06 06:00:00,Spot,Transaction Fee,ETH,-3.562e-05
2024-03-06 06:00:00,Spot,Transaction Sold,ADA,-185.06253875
2024-03-06 06:00:00,Spot,Transaction Revenue,ETH,0.03558027
2024-03-06 06:00:00,Spot,Transaction Revenue,ETH,0.03558027
2024-03-06 07:00:00,Spot,Transaction Related,USD,14101.25876012
2024-03-06 07:00:00,Spot,Transaction Related,SOL,-107.92395546
2024-03-06 07:00:00,Spot,Transaction Fee,USD,-14.11537413
2024-03-06 11:00:00,Spot,Transaction Sold,BTC,-0.00754702
2024-03-06 11:00:00,Spot,Transaction Fee,ADA,-0.6785442
2024-03-06 11:00:00,Spot,Transaction Revenue,ADA,677.86565829
2024-03-06 13:00:00,Spot,Buy,SOL,109.55259898
2024-03-06 13:00:00,Spot,Sell,USD,-14342.72714763
2024-03-06 13:00:00,Spot,Fee,SOL,-0.10966226
2024-03-06 19:00:00,Spot,Transfer,ETH,-0.08198438
2024-03-06 23:00:00,Spot,Deposit,USD,500.0
2024-03-07 02:00:00,Spot,Transaction Fee,ETH,-2.607e-05
2024-03-07 02:00:00,Spot,Transaction Buy,ETH,0.02604512
2024-03-07 02:00:00,Spot,Transaction Spend,BTC,-0.0015094
2024-03-07 03:00:00,Spot,Transaction Fee,ADA,-0.43457942
2024-03-07 03:00:00,Spot,Transaction Related,ADA,434.14483849
2024-03-07 03:00:00,Spot,Transaction Related,BTC,-0.00483009
2024-03-07 04:00:00,Spot,Transaction Related,SOL,5.67597845
2024-03-07 04:00:00,Spot,Transaction Related,USD,-817.13635738
2024-03-07 04:00:00,Spot,Transaction Fee,SOL,-0.00568166
2024-03-07 10:00:00,Spot,Transfer,BTC,-0.0002415
2024-03-07 14:00:00,Spot,Transfer,ADA,-1333.75849042
2024-03-07 15:00:00,Spot,Transaction Buy,ADA,3517.19605127
2024-03-07 15:00:00,Spot,Transaction Spend,USD,-2614.83634362
2024-03-07 15:00:00,Spot,Transaction Fee,ADA,-3.52071677
2024-03-07 18:00:00,Spot,Transaction Revenue,ADA,175.85980256
2024-03-07 18:00:00,Spot,Transaction Sold,USD,-130.74181718
2024-03-07 18:00:00,Spot,Transaction Fee,ADA,-0.17603584
2024-03-08 00:00:00,Spot,Transaction Related,ADA,72.7652762
2024-03-08 00:00:00,Spot,Transaction Related,BTC,-0.00077281
2024-03-08 00:00:00,Spot,Transaction Fee,ADA,-0.07283811
2024-03-08 04:00:00,Spot,Transaction Fee,SOL,-0.00231794
2024-03-08 04:00:00,Spot,Binance Convert,SOL,2.31561787
2024-03-08 04:00:00,Spot,Binance Convert,ETH,-0.08642359
2024-03-08 08:00:00,Spot,Binance Convert,USD,67.05566219
2024-03-08 08:00:00,Spot,Binance Convert,ETH,-0.01728472
2024-03-08 08:00:00,Spot,Transaction Fee,USD,-0.06712278
2024-03-08 14:00:00,Spot,Transaction Buy,ETH,0.03035685
2024-03-08 14:00:00,Spot,Transaction Spend,USD,-118.00458618
