Id,Timestamp,Type,AssetIn,AmountIn,AssetOut,AmountOut,FeeAsset,FeeAmount,FiatValueAtTimestamp,FiatCurrency
4c5e77e6-3cf3-4d05-b8b6-271f0eb49026,2024-03-03T00:00:00,Deposit,USD,10000.0,,0.0,,0.0,10000.0,USD
b99d8a6d-769f-419e-8454-936ba0bd8973,2024-03-03T22:00:00,Withdrawal,,0.0,USD,2000.0,,0.0,2000.0,USD
08ba7984-73f2-4953-a852-a8a2f7274c21,2024-03-05T07:00:00,Trade,ADA,5772.064134045934,USD,4000.0,ADA,5.777841976021956,4000.0,USD
a7e5733f-05eb-4edc-bf78-d2bb496dab79,2024-03-05T10:00:00,Trade,SOL,15.944457744792913,USD,2000.0,SOL,0.015960418162955868,2000.0,USD
d81095dc-a162-4dac-9c2e-d20f73288342,2024-03-05T14:00:00,Trade,ADA,1441.573017477972,SOL,7.972228872396457,ADA,1.4430160335114834,999.0,USD
a33a61e3-7d1f-4eee-9041-bb3e4b548839,2024-03-05T20:00:00,Trade,USD,798.4008,SOL,6.377783097917165,USD,0.7992,798.4008,USD
e92d689b-5aba-4d3e-a8ee-b8db6181063e,2024-03-06T02:00:00,Trade,BTC,0.008462029563199101,USD,559.68016,BTC,8.470500063262365e-06,559.68016,USD
f967f498-d6be-4fc4-a693-760f87bf4962,2024-03-06T03:00:00,Deposit,USD,50000.0,,0.0,,0.0,50000.0,USD
512f174f-5286-49ae-800c-ff3d81c1773f,2024-03-06T07:00:00,Transfer,,0.0,SOL,0.7972228872396456,,0.0,0.0,USD
e55cb049-cf4e-4e93-a94f-7953f3fc433c,2024-03-06T08:00:00,Transfer,,0.0,BTC,0.006769623650559282,,0.0,0.0,USD
5eac2416-0bc3-4072-ae3f-f0a3f5ca86c0,2024-03-06T14:00:00,Trade,USD,89.3698174976256,BTC,0.0013539247301118562,USD,0.0894592767744,89.3698174976256,USD
b48fadec-d8d3-47b2-93c1-3bb008ff8012,2024-03-06T16:00:00,Trade,USD,4236.800512569811,ADA,5770.909721219125,USD,4.241041554123934,4236.800512569811,USD
ca2dd30c-86fd-4011-bec8-d605dcd032b4,2024-03-06T19:00:00,Transfer,,0.0,BTC,6.769623650559282e-05,,0.0,0.0,USD
b8f8e6bc-8e3b-4673-9d89-6fde916979ad,2024-03-07T01:00:00,Deposit,USD,50000.0,,0.0,,0.0,50000.0,USD
b605fe2f-cb2b-45de-9b0d-789d9be2204e,2024-03-07T05:00:00,Trade,USD,214.08842976497473,ADA,288.54548606095625,USD,0.2143027324974722,214.08842976497473,USD
d67e2848-1319-42b2-8eb1-08f5875d379e,2024-03-07T10:00:00,Trade,BTC,0.01025217713029656,ADA,923.3455553950599,BTC,1.0262439569866425e-05,685.768743991911,USD
ac58718b-65ad-4a6c-8c97-003975c6daac,2024-03-07T16:00:00,Withdrawal,,0.0,USD,21355.79587996648,,0.0,21355.79587996648,USD
69179b74-27cb-4c17-98a2-e5220b7c426e,2024-03-07T19:00:00,Transfer,,0.0,BTC,0.008418369661055145,,0.0,0.0,USD
e6aa5fd9-75bf-417f-b009-acb0ed05f9bc,2024-03-07T21:00:00,Transfer,,0.0,ADA,46.167277769753,,0.0,0.0,USD
0773d50e-9a2a-4330-a91b-18247f7c1507,2024-03-08T03:00:00,Trade,SOL,294.6949386571796,USD,42711.59175993296,SOL,0.29498992858576534,42711.59175993296,USD
2515dc04-a3c5-4531-967f-cda7185ad080,2024-03-08T07:00:00,Trade,USD,71.61513995820954,BTC,0.001052296207631893,USD,0.07168682678499454,71.61513995820954,USD
fb8def46-ada9-44c1-8504-75a8f375b6ac,2024-03-08T16:00:00,Transfer,,0.0,SOL,59.098432308883844,,0.0,0.0,USD
e123099d-8837-47d4-a20a-3f9433ed2480,2024-03-08T21:00:00,Deposit,USD,50000.0,,0.0,,0.0,50000.0,USD
c7f8936c-cc86-44b7-99d6-5697e2208a19,2024-03-09T02:00:00,Withdrawal,,0.0,USD,74226.56551991294,,0.0,74226.56551991294,USD
f0b2e7dc-5f4e-4a3a-83d4-75a2599c2947,2024-03-09T07:00:00,Trade,SOL,102.78236739121634,USD,14845.313103982588,SOL,0.1028852526438602,14845.313103982588,USD
b29f9019-90c8-40a1-ac52-b9b781cd1512,2024-03-09T08:00:00,Trade,ADA,2499.7417392931848,USD,1855.6641379978234,ADA,2.502243983276461,1855.6641379978234,USD
caeb185b-ff70-47dc-b46e-4021655ea8c6,2024-03-09T09:00:00,Withdrawal,,0.0,USD,927.8320689989117,,0.0,927.8320689989117,USD
904df3c9-4a05-45ce-9da8-7ce2566a0f5b,2024-03-09T15:00:00,Deposit,USD,500.0,,0.0,,0.0,500.0,USD
64eb9ee8-004d-40ed-87f3-bd8df4fbaa6a,2024-03-09T18:00:00,Withdrawal,,0.0,USD,713.9160344994559,,0.0,713.9160344994559,USD
4a989832-e877-43f7-a9cd-40039ebdb52a,2024-03-09T23:00:00,Trade,ETH,0.14610269224240569,USD,571.1328275995647,ETH,0.0001462489411835893,571.1328275995647,USD
559a4ed9-5d29-4d40-aea2-e0c955963c1f,2024-03-10T02:00:00,Trade,ETH,0.029421998611409404,USD,114.22656551991294,ETH,2.9451450061470872e-05,114.22656551991294,USD
